Date,Product,Category,Quantity,Price,Sales_Rep,Region,Total_Sales
2024-01-01,Phone,Electronics,19,1097.56,Charlie,South,20853.64
2024-01-02,Tablet,Accessories,19,361.08,Bob,West,6860.5199999999995
2024-01-03,Monitor,Electronics,11,1080.28,Bob,North,11883.08
2024-01-04,Phone,Electronics,6,1190.33,Charlie,East,7141.98
2024-01-05,Tablet,Electronics,15,1368.04,Charlie,East,20520.6
2024-01-06,Keyboard,Accessories,19,889.19,Bob,East,16894.61
2024-01-07,Phone,Electronics,8,520.56,Alice,East,4164.48
2024-01-08,Phone,Accessories,5,80.98,Alice,North,404.90000000000003
2024-01-09,Tablet,Accessories,7,472.37,Alice,South,3306.59
2024-01-10,Tablet,Accessories,17,470.53,Diana,North,7999.009999999999
2024-01-11,Keyboard,Electronics,10,305.64,Alice,West,3056.3999999999996
2024-01-12,Phone,Electronics,1,1315.02,Charlie,West,1315.02
2024-01-13,Phone,Electronics,18,1389.37,Charlie,North,25008.659999999996
2024-01-14,Keyboard,Accessories,1,1392.9,Charlie,West,1392.9
2024-01-15,Keyboard,Electronics,5,1398.41,Charlie,West,6992.05
2024-01-16,Phone,Accessories,11,958.69,Bob,North,10545.59
2024-01-17,Laptop,Accessories,1,492.94,Diana,South,492.94
2024-01-18,Laptop,Electronics,3,274.44,Alice,East,823.3199999999999
2024-01-19,Laptop,Electronics,1,1371.7,Charlie,East,1371.7
2024-01-20,Tablet,Electronics,15,308.01,Charlie,East,4620.15
2024-01-21,Tablet,Electronics,3,1256.41,Charlie,North,3769.2300000000005
2024-01-22,Tablet,Accessories,13,747.53,Charlie,West,9717.89
2024-01-23,Tablet,Electronics,11,1209.04,Bob,East,13299.439999999999
2024-01-24,Laptop,Electronics,6,419.68,Bob,North,2518.08
2024-01-25,Phone,Accessories,7,1441.59,Alice,North,10091.13
2024-01-26,Tablet,Accessories,15,416.96,Alice,West,6254.4
2024-01-27,Keyboard,Electronics,6,1427.79,Charlie,North,8566.74
2024-01-28,Monitor,Accessories,6,1029.84,Diana,South,6179.039999999999
2024-01-29,Tablet,Electronics,5,1230.77,Alice,South,6153.85
2024-01-30,Monitor,Electronics,14,535.19,Charlie,South,7492.660000000001
2024-01-31,Laptop,Electronics,13,401.19,Diana,East,5215.47
2024-02-01,Keyboard,Accessories,16,1106.32,Bob,North,17701.12
2024-02-02,Phone,Accessories,19,899.71,Bob,North,17094.49
2024-02-03,Phone,Electronics,13,564.89,Diana,West,7343.57
2024-02-04,Laptop,Electronics,2,827.99,Bob,South,1655.98
